---euler---
+----+------+-----------+----------+-----------+-------+
|  # |    X |         Y |    RUNGE |   PRECISE | <=E   |
+----+------+-----------+----------+-----------+-------+
|  0 |   -3 |      7.77 |        0 |      7.77 | true  |
|  1 | -2.8 |    5.0496 | -0.01453 |   5.12131 | true  |
|  2 | -2.6 |   3.22048 | -0.01774 |   3.30455 | true  |
|  3 | -2.4 |   2.02758 | -0.01532 |   2.09511 | true  |
|  4 | -2.2 |   1.27647 | -0.01086 |   1.31779 | true  |
|  5 |   -2 |   0.82117 | -0.00646 |   0.83784 | true  |
|  6 | -1.8 |   0.55454 | -0.00316 |   0.55366 | true  |
|  7 | -1.6 |   0.40043 | -0.00132 |   0.39074 | true  |
|  8 | -1.4 |   0.30754 | -0.00079 |    0.2968 | true  |
|  9 | -1.2 |   0.24444 | -0.00112 |   0.23773 | true  |
| 10 |   -1 |   0.19555 | -0.00169 |    0.1943 | true  |
| 11 | -0.8 |   0.15804 | -0.00179 |   0.15946 | true  |
| 12 | -0.6 |   0.13923 | -0.00065 |   0.13616 | true  |
| 13 | -0.4 |   0.15458 |  0.00246 |    0.1355 | true  |
| 14 | -0.2 |   0.22607 |  0.00825 |   0.17528 | true  |
| 15 |    0 |   0.38085 |   0.0174 |   0.27875 | true  |
| 16 |  0.2 |   0.65028 |  0.03049 |   0.47369 | true  |
| 17 |  0.4 |   1.06903 |  0.04809 |   0.79149 | true  |
| 18 |  0.6 |   1.67442 |  0.07067 |   1.26661 | true  |
| 19 |  0.8 |   2.50594 |  0.09867 |   1.93591 | true  |
| 20 |    1 |   3.60475 |  0.13247 |   2.83831 | false |
| 21 |  1.2 |    5.0134 |  0.17239 |   4.01435 | false |
| 22 |  1.4 |   6.77552 |  0.21871 |   5.50593 | false |
| 23 |  1.6 |   8.93562 |  0.27169 |   7.35607 | false |
| 24 |  1.8 |  11.53889 |  0.33153 |   9.60868 | false |
| 25 |    2 |  14.63111 |   0.3984 |   12.3084 | false |
| 26 |  2.2 |  18.25849 |  0.47247 |  15.50049 | false |
| 27 |  2.4 |  22.46759 |  0.55386 |  19.23072 | false |
| 28 |  2.6 |  27.30527 |  0.64269 |  23.54525 | false |
| 29 |  2.8 |  32.81862 |  0.73904 |  28.49057 | false |
| 30 |    3 |   39.0549 |  0.84299 |  34.11345 | false |
| 31 |  3.2 |  46.06152 |  0.95461 |  40.46089 | false |
| 32 |  3.4 |  53.88601 |  1.07395 |  47.58005 | false |
| 33 |  3.6 |  62.57601 |  1.20106 |  55.51826 | false |
| 34 |  3.8 |  72.17921 |  1.33598 |  64.32298 | false |
| 35 |    4 |  82.74337 |  1.47875 |  74.04174 | false |
| 36 |  4.2 |  94.31629 |  1.62938 |  84.72217 | false |
| 37 |  4.4 | 106.94583 |   1.7879 |  96.41198 | false |
| 38 |  4.6 | 120.67987 |  1.95433 | 109.15891 | false |
| 39 |  4.8 | 135.56629 |  2.12868 | 123.01075 | false |
| 40 |    5 | 151.65304 |  2.31098 | 138.01535 | false |
| 41 |  5.2 | 168.98803 |  2.50122 | 154.22057 | false |
| 42 |  5.4 | 187.61922 |  2.69942 | 171.67429 | false |
| 43 |  5.6 | 207.59458 |  2.90558 | 190.42443 | false |
| 44 |  5.8 | 228.96206 |  3.11971 |  210.5189 | false |
| 45 |    6 | 251.76965 |  3.34182 | 232.00565 | false |
| 46 |  6.2 | 276.06532 |  3.57192 | 254.93262 | false |
| 47 |  6.4 | 301.89706 |  3.80999 | 279.34779 | false |
| 48 |  6.6 | 329.31284 |  4.05605 |  305.2991 | false |
| 49 |  6.8 | 358.36068 |   4.3101 | 332.83454 | false |
| 50 |    7 | 389.08854 |  4.57214 | 362.00208 | false |
| 51 |  7.2 | 421.54443 |  4.84218 |  392.8497 | false |
| 52 |  7.4 | 455.77635 |  5.12021 | 425.42539 | false |
| 53 |  7.6 | 491.83228 |  5.40623 | 459.77714 | false |
| 54 |  7.8 | 529.76022 |  5.70025 | 495.95293 | false |
| 55 |    8 | 569.60818 |  6.00226 | 534.00076 | false |
+----+------+-----------+----------+-----------+-------+
---adams---
+----+------+-----------+----------+-----------+------+
|  # |    X |         Y |    RUNGE |   PRECISE | <=E  |
+----+------+-----------+----------+-----------+------+
|  0 |   -3 |      7.77 |        0 |      7.77 | true |
|  1 | -2.8 |   5.12137 |        0 |   5.12131 | true |
|  2 | -2.6 |   3.30465 |  0.00498 |   3.30455 | true |
|  3 | -2.4 |   2.09523 |  0.01136 |   2.09511 | true |
|  4 | -2.2 |   1.17547 |  0.00484 |   1.31779 | true |
|  5 |   -2 |   0.63162 |  0.00133 |   0.83784 | true |
|  6 | -1.8 |    0.3285 | -0.00057 |   0.55366 | true |
|  7 | -1.6 |   0.17473 | -0.00137 |   0.39074 | true |
|  8 | -1.4 |   0.10453 | -0.00155 |    0.2968 | true |
|  9 | -1.2 |   0.07457 |  -0.0014 |   0.23773 | true |
| 10 |   -1 |   0.05938 | -0.00117 |    0.1943 | true |
| 11 | -0.8 |    0.0478 | -0.00098 |   0.15946 | true |
| 12 | -0.6 |   0.04026 | -0.00093 |   0.13616 | true |
| 13 | -0.4 |   0.04645 | -0.00108 |    0.1355 | true |
| 14 | -0.2 |   0.08357 | -0.00146 |   0.17528 | true |
| 15 |    0 |   0.17483 | -0.00207 |   0.27875 | true |
| 16 |  0.2 |   0.34828 | -0.00292 |   0.47369 | true |
| 17 |  0.4 |   0.63585 |   -0.004 |   0.79149 | true |
| 18 |  0.6 |   1.07264 | -0.00529 |   1.26661 | true |
| 19 |  0.8 |   1.69624 | -0.00677 |   1.93591 | true |
| 20 |    1 |   2.54631 | -0.00843 |   2.83831 | true |
| 21 |  1.2 |   3.66409 | -0.01024 |   4.01435 | true |
| 22 |  1.4 |   5.09219 | -0.01219 |   5.50593 | true |
| 23 |  1.6 |   6.87424 | -0.01426 |   7.35607 | true |
| 24 |  1.8 |   9.05473 | -0.01644 |   9.60868 | true |
| 25 |    2 |  11.67885 | -0.01871 |   12.3084 | true |
| 26 |  2.2 |  14.79232 | -0.02107 |  15.50049 | true |
| 27 |  2.4 |  18.44132 | -0.02348 |  19.23072 | true |
| 28 |  2.6 |  22.67237 | -0.02596 |  23.54525 | true |
| 29 |  2.8 |   27.5323 | -0.02849 |  28.49057 | true |
| 30 |    3 |  33.06814 | -0.03106 |  34.11345 | true |
| 31 |  3.2 |  39.32714 | -0.03367 |  40.46089 | true |
| 32 |  3.4 |  46.35669 | -0.03631 |  47.58005 | true |
| 33 |  3.6 |  54.20427 | -0.03898 |  55.51826 | true |
| 34 |  3.8 |   62.9175 | -0.04166 |  64.32298 | true |
| 35 |    4 |  72.54405 | -0.04437 |  74.04174 | true |
| 36 |  4.2 |  83.13166 | -0.04709 |  84.72217 | true |
| 37 |  4.4 |  94.72813 | -0.04982 |  96.41198 | true |
| 38 |  4.6 |  107.3813 | -0.05257 | 109.15891 | true |
| 39 |  4.8 | 121.13901 | -0.05532 | 123.01075 | true |
| 40 |    5 | 136.04917 | -0.05808 | 138.01535 | true |
| 41 |  5.2 | 152.15969 | -0.06085 | 154.22057 | true |
| 42 |  5.4 |  169.5185 | -0.06363 | 171.67429 | true |
| 43 |  5.6 | 188.17355 |  -0.0664 | 190.42443 | true |
| 44 |  5.8 | 208.17277 | -0.06919 |  210.5189 | true |
| 45 |    6 | 229.56415 | -0.07197 | 232.00565 | true |
| 46 |  6.2 | 252.39566 | -0.07476 | 254.93262 | true |
| 47 |  6.4 | 276.71525 | -0.07755 | 279.34779 | true |
| 48 |  6.6 | 302.57093 | -0.08034 |  305.2991 | true |
| 49 |  6.8 | 330.01067 | -0.08313 | 332.83454 | true |
| 50 |    7 | 359.08246 | -0.08593 | 362.00208 | true |
| 51 |  7.2 | 389.83429 | -0.08872 |  392.8497 | true |
| 52 |  7.4 | 422.31416 | -0.09152 | 425.42539 | true |
| 53 |  7.6 | 456.57005 | -0.09432 | 459.77714 | true |
| 54 |  7.8 | 492.64996 | -0.09711 | 495.95293 | true |
| 55 |    8 | 530.60189 | -0.09991 | 534.00076 | true |
+----+------+-----------+----------+-----------+------+
